Gene	Expr0
Brd9	8.16453
Brf2	8.10288
Bri3bp	7.70812
Brms1	7.29599
Brms1l	7.53243
Brp16	7.88473
Brpf3	7.50934
Brunol4	7.04022
Btbd11	8.15383
Btbd12	7.42985
Btbd14b$Btbd14b	8.07635
Btbd3	7.24588
Btbd7	7.46038
Btrc	7.52208
Bud13	7.9965
Bxdc1	8.35059
C030011O14Rik	7.45733
C030019F02Rik	6.70861
C030046I01Rik	7.41702
C030048B08Rik	8.06723
C1qdc2	6.9491
C230096C10Rik	7.99366
C330002I19Rik	6.9684
C330016O10Rik	8.36988
C430014K11Rik	8.82719
C530043G21Rik$C530043G21Rik	6.7215
C530044N13Rik	6.99695
C730025P13Rik	7.09535
C77080	8.28591
C77370	7.14279
C79267	6.81132
C79407	9.63016
C85492	6.86502
Cabc1	6.86256
Cabin1	6.72667
Cacng7	7.24416
Cadm4	6.99357
Calca	8.24454
Calcoco1	6.6566
Calcoco2	7.68179
Calml4	8.88937
Camk1d	6.68481
Camk2g	7.79224
Camk2n1	7.33319
Caml	8.1215
Cant1	7.30456
Capn10	6.88624
Capn7	8.59651
Caprin2	8.14281
Capsl	6.5916
Card10	7.79908
Casc3	8.27717
Casc5	8.15953
Casd1	6.78011
Cask	7.41478
Casp6	6.82182
Casp8ap2	9.87627
Cbara1	6.68718
Cbl$Cbl	8.10247
Cblb	6.84712
Cbr1	8.82476
Cbx2	7.25633
Cc2d1a	6.89961
Cc2d1b	7.27696
Ccbl2	8.08094
Ccdc100	8.54553
Ccdc101$Ccdc101	8.38106
Ccdc102a	6.65041
Ccdc109a	7.33027
Ccdc111	6.67704
Ccdc115	8.46857
Ccdc117	8.00295
Ccdc12	6.76884
Ccdc120	6.65528
Ccdc123	7.12981
Ccdc124	8.62629
Ccdc127	7.60052
Ccdc128	8.23635
Ccdc13	6.53777
Ccdc137	7.6304
Ccdc14	7.33778
Ccdc16	7.75725
Ccdc21	6.83962
Ccdc22	8.52756
Ccdc3	7.06601
Ccdc32	7.67977
Ccdc34	7.10626
Ccdc41	7.51766
Ccdc43	7.62281
Ccdc47	8.58893
Ccdc49	6.80852
Ccdc50	6.99372
Ccdc52	7.15124
Ccdc55	8.5702
Ccdc59	7.87922
Ccdc66	7.52483
Ccdc77	8.06641
Ccdc86	7.7796
Ccdc88a	6.81778
Ccdc92	7.52902
Ccdc97	6.7708
Ccdc99	9.32473
Cchcr1	6.9451
Ccnc	7.49657
Ccne2	7.34496
Ccnk	7.26977
Ccnl1	9.05362
Ccnl2	8.75945
Ccnt1	8.536
Ccny	7.61067
Cd151	7.70728
Cd1d1	6.72917
Cd248	7.09537
Cd276	7.5259
Cd2ap	8.47937
Cd320	8.41381
Cd38	7.01544
Cd3eap	7.54431
Cd59a	6.8328
Cd68	7.64192
Cdc14b	8.51805
Cdc23	7.86224
Cdc25a	8.85802
Cdc25c	7.72704
Cdc26	8.45604
Cdc27	8.21615
Cdc2l5	7.65597
Cdc2l6	6.70061
Cdc42ep2	6.7241
Cdc42ep4	7.49256
Cdc42ep5	7.3016
Cdc7	8.00468
Cdca2	9.15862
Cdca7	9.50158
Cdca8	9.6461
Cdh11	7.8069
Cdh2$Cdh2	6.51789
Cdk10	7.66567
Cdk2	8.50083
Cdk5rap1	8.73644
Cdk5rap2	6.77831
Cdkn1b	8.08436
Cdkn1c	7.76162
Cdkn2d	8.15108
Cdr2	8.18755
Cds2	7.68199
Cdyl2	7.96572
Ceacam1	7.17891
Cebpd	7.26932
Cebpg	7.21516
Celsr1	6.52843
Cenpb	7.90509
Cenpc1	9.03591
Cenpe	8.92822
Cenpf	9.07935
Cenpi	8.71136
Cenpj	7.18926
Cenpk	8.67181
Cenpp	8.57655
Cenpt	9.66235
Centa1	8.40855
Centb5	7.0053
Centg3	6.64321
Cep152	6.78994
Cep164	7.25064
Cep170	6.94283
Cep27	8.0336
Cep57	9.02543
Cep68	7.46236
Cep72	6.7675
Cep76	7.39508
Chac2	7.35539
Chchd5$Chchd5	8.54462
Chchd7	7.75961
Chd1l	9.0453
Chd2	7.54575
Chd3	6.78465
Chd6	6.5419
Chd8	7.69531
Chd9	7.62282
Chek1	7.82901
Chfr	8.4228
Chic1	6.67622
Chid1	6.71315
Chit1	6.68623
Chkb	7.27714
Chmp1b	8.18675
Chmp7	7.76458
Chrac1	8.35337
Chst12	6.95057
Churc1	9.13345
Ciapin1	8.33192
Cirbp	8.77053
Cish	6.56345
Ckap2l	8.58906
Cklf	7.62916
Clasp1	7.96266
Clcn2	7.16757
Clcn3	8.44286
Clcn6	6.86961
Clcn7	6.72744
Cldn12	8.48449
Cldn4	8.78544
Cldnd1	8.08864
Clip3	6.67643
Clk3	8.41859
Clk4	7.63791
Clock$Clock	6.72694
Clp1	9.51288
Clpx	7.9897
Clspn	7.96773
Clstn1	8.05302
Clybl	8.06144
Cmtm6	8.99937
Cnksr3	7.70564
Cnnm2	7.22012
Cnnm3	6.59041
Cno	7.56523
Cnot2	8.10282
Cnot4	8.14915
Cnot6l	7.49903
Cnp	6.72912
Cnpy1	7.79779
Cntrob	7.56278
Coasy	7.90297
Coch	7.40449
Cog1	7.3285
Cog4	7.66711
Cog6$Ccrn4l	8.13929
Cog8	8.42682
Col3a1	7.75814
Col5a1	7.35254
Commd10	8.6756
Commd5	8.46064
Commd8	8.45929
Commd9	7.69863
Copg2	8.37095
Cops7b	7.86467
Coq3	8.45124
Coq4	7.68001
