Gene	Expr0
Tmem86a	6.58641
Tmem81	6.97189
Tmem8	6.33902
Tmem79	6.49364
Tmem77	7.24481
Tmem69	6.61979
Tmem68	7.21509
Tmem65	7.09899
Tmem63a	6.50671
Tmem60	8.34214
Tmem59l	6.47901
Tmem58	6.6803
Tmem57	8.15888
Tmem51	7.98733
Tmem50b	8.00418
Tmem48	8.24341
Tmem47	8.3763
Tmem45a	7.84345
Tmem43	7.60752
Tmem42	6.29374
Tmem39b	8.1973
Tmem38b	7.63086
Tmem37	7.57189
Tmem30b	6.77136
Tmem30a	8.11286
Tmem24	6.09115
Tmem19	7.09204
Tmem189$LOC620966	7.38738
Tmem186	6.47017
Tmem185b	8.3273
Tmem184b	7.09681
Tmem181$LOC100040525	7.19605
Tmem180	6.32799
Tmem18	7.64261
Tmem177	6.5294
Tmem176b	7.74812
Tmem176a	6.36545
Tmem171	6.21137
Tmem170	7.36277
Tmem16k	6.69113
Tmem16j	6.38492
Tmem16f	8.13811
Tmem168	6.8557
Tmem164	6.2455
Tmem161b	8.21815
Tmem161a	6.01059
Tmem159	6.08693
Tmem158	6.13442
Tmem157	8.21263
Tmem151	6.57812
Tmem150	7.41399
Tmem14a	6.46119
Tmem149	7.26936
Tmem143$2900057H02Rik	5.70905
Tmem142c	6.79448
Tmem142a	7.47956
Tmem141	6.29571
Tmem138	6.27498
Tmem136	6.79451
Tmem135	7.17098
Tmem134	7.84204
Tmem132a	7.41289
Tmem129	6.59657
Tmem127	6.52901
Tmem126b	6.28856
Tmem123	7.53291
Tmem120b	6.85657
Tmem120a	7.79601
Tmem115	7.79176
Tmem112b	7.83831
Tmem112	5.8687
Tmem110	6.46319
Tmem109	6.20927
Tmem106c	6.21231
Tmem106b	7.67795
Tmem106a	6.96205
Tmem102	6.33488
Tmem101	7.32148
Tmem1	8.05814
Tmed5$LOC100046567	7.90803
Tmed4	8.17196
Tmed3	8.32235
Tmco7	7.59727
Tmco6	6.97572
Tmco4	5.69886
Tmcc3	6.6582
Tmcc2	5.88673
Tmc8	7.52741
Tmc7	5.73051
Tmc6	7.21164
Tmc4	6.23747
Tmbim4	8.18997
Tmbim1	8.06609
Tm9sf4	7.60121
Tm9sf1	7.46933
Tm7sf2	7.76029
Tm4sf5	6.06814
Tm4sf1	7.63263
Tm2d3	8.44474
Tm2d2	7.80293
Tm2d1	7.22993
Tlx3	5.72094
Tlx2	6.56834
Tlr9	6.4971
Tln2	7.13397
Tln1	7.68791
Tlk1$LOC100046241	8.40352
Tle6	7.17284
Tle1	7.49085
Tlcd1	6.76416
Tk2	6.63866
Tjp3	6.16639
Tjap1	8.14995
Tirap	7.23199
Tinagl	7.43599
Timp3	7.82202
Timm9	7.61219
Timm22	8.4549
Tigd3	6.13877
Tigd2	8.02016
Tifp39	6.64301
Tiam1	6.83466
Tia1	7.45905
Thy1	7.37697
Thnsl2	6.85382
Thnsl1	6.74858
Thg1l	7.69721
Thex1	8.22475
Thbs3	5.82659
Thbd	7.44049
Thap7	7.42505
Thap4	7.88332
Thap3	6.90373
Thap2	5.70295
Thap1	7.8018
Tgm3	6.84723
Tgm2	7.48663
Tgm1	7.73124
Tgfbrap1	6.17499
Tgfbr3	5.96566
Tgfbr2	6.28487
Tgfbr1	7.53303
Tgfb1i1	7.17662
Tgfb1	6.26317
Tgds	8.00329
Tfpt	7.02447
Tfip11	8.0982
Tfb2m	8.19046
Tfb1m	7.33568
Tex9	7.46178
Tex264	8.19582
Tex261	8.09702
Tex2	7.26052
Tex15	7.57839
Tex12	5.92964
Tex11	6.53967
Tesk2	7.58659
Tesk1	6.47413
Tes	7.44166
Terf2ip	6.20975
Terf2	7.72179
Tep1	7.70799
Tenc1	5.70079
Telo2	6.85865
Tekt1	5.86522
Tek	6.19107
Tef	7.27709
Tead4	5.92766
Tead3	6.64292
Tead1	6.47064
Tdrkh	6.52804
Tdrd3$LOC100047849	6.66832
Tcta	6.4265
Tcstv3	5.87868
Tcstv1	6.78989
Tcp11l2	6.54283
Tcn2	7.10506
Tcl1b4	5.71366
Tcirg1	7.06484
Tchp	6.64615
Tcfeb	7.68708
Tcfcp2	7.103
Tcfap4	6.65041
Tcfap2c	8.0981
Tcf7	8.09021
Tcf4	7.57394
Tcf20	8.40709
Tcf19	6.4544
Tcf12	7.76233
Tceb3	7.46509
Tceal1	6.38823
Tcea2	6.21857
Tbxa2r	6.5423
Tbx15	6.03896
