Gene	Expr0	Expr1	Expr2
Tgm6	4.06194	4.11488	4.33211
Tgm5	4.42492	4.44524	4.75254
Tgifx1	2.8895	2.6699	2.81597
Tg	4.28074	4.626	4.55201
Tff3	4.47101	4.6635	4.57361
Tff2	5.29153	4.82546	5.34606
Tex24	2.79202	2.85907	2.94585
Tex22	3.72264	3.93197	3.82718
Tex18	2.99824	2.44976	2.53666
Tex16	3.10768	2.98239	2.99629
Tex13	5.54027	3.36794	3.4635
Tex12	5.92964	3.60822	3.36745
Tex11	6.53967	2.80449	2.71243
Tex101	4.1532	3.72194	3.75327
Tessp2	4.66241	4.52374	4.51712
Tesp2	4.13416	4.20919	4.25192
Tesp1	4.30836	4.2746	4.38694
Tert	5.4547	4.2749	5.44521
Tekt5	4.24737	3.75046	4.09864
Tekt4	5.00023	5.12206	4.96616
Tekt3	4.46058	4.44697	4.25111
Tekt2	4.95657	4.54593	3.68262
Tekt1	5.86522	4.54135	4.72897
Tectb	3.40477	3.4066	3.5304
Tecta	4.59717	4.43683	4.68306
Tdrd1	3.54904	3.95179	3.54138
Tdpoz1	5.21201	3.04218	3.10118
Tdo2	3.23681	3.03916	3.12927
Tctex1d1	2.54049	2.49264	2.43559
Tcte2	3.07386	3.14808	3.03255
Tcte1	4.17934	4.13924	3.90022
Tcstv3	5.87868	2.57565	2.51199
Tcstv1	6.78989	2.35063	2.57156
Tchhl1	3.24779	3.2939	3.25035
Tcfec	4.14659	3.70008	2.79598
Tcfap2e	3.62888	3.52386	3.44249
Tcfap2d	3.56512	3.71241	3.74099
Tcfap2b	3.24161	4.54617	3.2569
Tcf23	3.92813	3.63222	4.05546
Tcf21	3.84653	4.13788	3.92709
Tcf2	4.78426	4.61512	4.57647
Tcf1	4.01314	4.02747	4.25452
Tcerg1l	5.23378	4.5873	4.87001
Tceal3	5.63786	5.72106	5.03828
Tcba1	2.37011	2.38725	2.24494
Tcap	4.90231	5.26879	5.12405
Tcam1	4.59749	4.45103	4.85326
Tbxas1	5.14602	5.54978	5.08466
Tbx6	3.96828	4.02712	4.23812
Tbx5	4.9211	5.52995	4.81687
Tbx22	2.51446	2.66925	2.78657
Tbx21	3.57335	3.48508	3.3859
Tbx20	3.69421	3.90502	4.21053
Tbx2	3.41946	3.75885	4.58854
Tbx19	5.08653	5.07175	5.12715
Tbr1	2.39888	2.48195	2.45483
Tbc1d21	2.9011	2.96367	2.78579
Tbc1d10c	4.96828	4.20125	4.87359
Tat	4.55919	4.75691	4.49166
Tas2r119	3.53502	3.6463	3.88991
Tas2r108	4.889	4.82059	4.84713
Tas2r105	2.80913	2.51542	2.50308
Tas1r1	5.45443	5.48013	5.09299
Tapbpl	4.74507	5.6538	5.34895
Tap1	4.8652	5.15159	6.12598
Tal2	3.87919	3.94602	3.54099
Tal1	3.84284	3.5647	3.45644
Tagln3	5.12415	5.12549	4.47674
Taf7l	6.9647	3.52153	3.20738
Taf15	5.13592	4.54309	4.73554
Tacstd2	2.73287	2.6021	3.44102
Tacr3	4.9763	4.18349	4.33743
Tacr1	4.94466	5.00911	4.97583
Tac4	3.23675	3.4884	3.20624
Tac1	3.97892	6.18881	4.2437
Taar1	3.76645	4.14561	3.76629
T	3.96745	3.66701	3.44718
Sytl4	3.80213	4.68414	4.52201
Sytl2	4.45186	7.00238	4.48826
Syt7	5.15929	4.05023	4.96526
Syt6	3.95732	4.00353	3.89362
Syt4	4.33569	3.53887	3.6757
Syt3	5.41975	4.72264	5.31303
Syt2	4.11661	4.02406	4.17545
Syt17	5.04463	6.04838	5.17803
Syt16	2.29515	2.29951	3.04567
Syt13	4.46821	6.34787	4.15072
Syt10	3.77077	3.9758	3.93588
Syt1	4.23581	3.90904	4.25151
Sypl2	4.8835	4.94217	4.94732
Syp	5.26182	4.65452	5.01655
Synpr	2.53318	2.5056	2.56201
Synpo2l	2.31686	2.36443	2.33643
Syngr4	5.64741	5.4345	5.21283
Syngr3	5.33225	4.76882	5.05819
Syne2	3.65256	3.78952	4.3876
Sync	4.59455	5.40124	4.57365
Syn3	4.66194	4.67953	4.41988
Syn2	3.68784	3.64364	3.6782
Sycp3	8.37755	2.93477	2.6947
Sycp2	3.38274	2.91213	2.61883
Sycn	5.00513	5.03323	4.96806
Svs7	2.45166	2.53149	2.60866
Svs6	2.56673	2.55303	2.65318
Svs5	4.74855	4.62343	4.64692
Svs4	2.30208	2.37965	2.2885
Svs3a	3.46826	3.26264	3.48185
Svs2	2.44771	2.43722	2.44282
Svop	4.50883	4.47105	4.63902
Sval2	2.41428	2.19161	2.45592
Sval1	2.26875	2.47697	2.33726
Sva	3.25902	3.03705	3.01883
Sv2b	4.02317	4.30462	4.02763
Susd3	4.87535	4.71888	4.784
Sumo3	3.24373	3.01693	3.41593
Sult3a1	2.44395	2.63061	2.49825
Sult2b1	4.462	4.10479	5.12901
Sult1e1	3.09985	3.10492	3.06859
Sult1d1	2.57373	2.67092	2.66029
Sult1c2	4.01059	4.18588	4.2655
Sult1b1	2.56751	2.38909	2.46235
Sult1a1	3.68531	4.01033	3.98455
Sucnr1	2.63325	2.46823	2.58222
Styxl1	4.57754	4.73881	4.60689
Styk1	4.52572	6.584	4.87661
Stxbp6	3.93743	4.94697	3.46604
Stxbp5	4.56908	5.8354	5.80498
Stx1b1	4.03504	3.9167	3.88436
Stx19	3.70564	3.70547	3.60061
Strm	3.50776	3.41401	3.53766
Strc	4.32362	4.45254	4.59954
Stra6	4.97159	4.94731	4.96628
Ston2	5.47211	5.22787	5.48368
Stoml3	4.10519	3.80777	4.06712
Stmn4	4.8349	5.60684	4.89346
Stk39	4.98655	6.58213	4.82268
Stk36	5.01843	5.32157	5.2851
Stk32c	4.25593	4.23913	4.34263
Stk32b	4.35461	4.25661	4.3558
Stk32a	4.6338	4.46159	4.82452
Stk31	8.03319	2.19775	2.09803
Stk22s1	5.52121	4.82212	5.12322
Stfa3	2.61442	2.65044	2.81529
Stfa2l1	2.22034	2.35465	2.35194
Steap4	4.38448	4.70919	4.69747
Stat4	6.59831	3.7225	3.92166
Stard7	4.88031	5.03601	5.05741
Star	4.94824	5.11202	4.88529
Stac3	4.89099	4.78283	4.86988
Stac	3.70446	4.16361	5.46565
Stab2	4.79644	4.6548	4.66623
Stab1	4.6603	4.81114	5.14741
St8sia6	4.26109	3.37525	2.98016
St8sia5	4.99706	4.95455	4.77939
St8sia4	3.69771	3.88253	4.8863
St8sia3	5.04934	4.842	4.82232
St8sia1	6.2175	4.00305	4.92086
St6galnac5	3.34154	3.45437	3.35906
St6galnac3	4.56401	3.6892	3.52055
St6galnac2	4.57969	4.26762	4.2434
St6galnac1	2.62595	2.55559	2.63723
St6gal2	2.13284	2.47846	2.57451
St3gal1	4.41065	5.8586	4.53644
St18	3.01741	3.26283	2.93849
Sstr5	5.01543	5.21517	5.06544
Sstr4	4.38533	4.55796	4.42686
Sstr3	4.49867	4.36676	4.47254
Sstr2	4.15286	4.27346	4.21353
Sstr1	3.37589	3.26595	3.18934
Sry	2.69625	2.53592	2.83949
Srrp	2.75074	2.3229	2.25871
